TOA5	Carl_WS	CR1000	17273	CR1000.Std.15	CPU:COBS_SW8Aport5.cr1	27157	Daily																				
TIMESTAMP	RECORD	Batt_Volt_Min	PTemp_C_Max	PTemp_C_Min	Rain_in_Tot	SlrW_Avg	SlrW_Max	SlrW_TMx	SlrMJ_Tot	AirTF_Max	AirTF_TMx	AirTF_Min	AirTF_TMn	AirTF_Avg	RH_Max	RH_TMx	RH_Min	RH_TMn	WS_mph_Max	WS_mph_TMx	WS_mph_S_WVT	WindDir_D1_WVT	T107_F_Max	T107_F_TMx	T107_F_Min	T107_F_TMn	T107_F_Avg
TS	RN	Volts	Deg C	Deg C	inch	W/m�	W/m�	W/m�	MJ/m�	Deg F	Deg F	Deg F	Deg F	Deg F	%	%	%	%	miles/hour	miles/hour	miles/hour	Deg	Deg F	Deg F	Deg F	Deg F	Deg F
		Min	Max	Min	Tot	Avg	Max	TMx	Tot	Max	TMx	Min	TMn	Avg	Max	TMx	Min	TMn	Max	TMx	WVc	WVc	Max	TMx	Min	TMn	Avg
8/13/2016 0:00	164	11.67	30.16	18.97	0.2	172.4	1208	8/12/2016 12:46	14.89155	80.3	8/12/2016 14:17	65.58	8/12/2016 23:06	73.26	117.1	8/12/2016 4:12	66.58	8/12/2016 14:20	17.23	8/12/2016 17:16	5.406	287.7	74.28	8/12/2016 19:14	73.46	8/12/2016 8:46	73.84
8/14/2016 0:00	165	11.46	32.26	16.39	0.01	289.4	946	8/13/2016 13:10	25.0036	82.9	8/13/2016 14:54	61.27	8/13/2016 5:27	71.91	115.9	8/13/2016 3:34	45.9	8/13/2016 14:16	13.28	8/13/2016 9:53	4.034	296.6	73.95	8/13/2016 0:00	72.46	8/13/2016 9:30	73.23
8/15/2016 0:00	166	11.62	32.7	16.94	0	279.1	996	8/14/2016 11:46	24.11047	83.2	8/14/2016 13:51	61.82	8/14/2016 23:38	71.43	116.6	8/14/2016 1:58	42.25	8/14/2016 13:05	8.18	8/14/2016 16:25	2.593	356.4	73.58	8/14/2016 0:01	72.21	8/14/2016 10:51	72.91
8/16/2016 0:00	167	11.8	30.95	15.14	?	193.2	1081	8/15/2016 12:18	16.69132	81.4	8/15/2016 14:14	58.59	8/15/2016 4:35	69.57	116.5	8/15/2016 4:50	55.14	8/15/2016 15:49	10.13	8/15/2016 11:21	2.244	36.12	73.18	8/15/2016 0:00	71.46	8/15/2016 11:07	72.24
8/17/2016 0:00	168	11.64	32.66	16.89	0.01	226.9	1237	8/16/2016 12:04	19.60393	84.2	8/16/2016 14:50	61.64	8/16/2016 4:28	72.74	117.2	8/16/2016 6:29	50.5	8/16/2016 14:03	11.07	8/16/2016 14:56	3.295	198.3	73.14	8/16/2016 21:41	71.35	8/16/2016 9:53	72.18
8/18/2016 0:00	169	11.69	35.24	18.58	0.01	254.4	1055	8/17/2016 13:07	21.98352	86.8	8/17/2016 15:15	64.06	8/17/2016 6:22	74.57	116.1	8/17/2016 23:50	50.53	8/17/2016 15:14	15.65	8/17/2016 4:00	2.923	127.1	73.66	8/17/2016 21:51	72	8/17/2016 10:16	72.79
8/19/2016 0:00	170	11.7	35.36	18.38	0	263.8	879	8/18/2016 13:10	22.792	89.6	8/18/2016 14:43	64.56	8/18/2016 3:18	77.56	117	8/18/2016 7:05	48.2	8/18/2016 14:44	14.95	8/18/2016 15:32	4.363	174.1	75.42	8/18/2016 21:50	72.27	8/18/2016 8:09	73.65
8/20/2016 0:00	171	11.82	33.4	19.13	0.44	161.4	1194	8/19/2016 12:22	13.94144	86	8/19/2016 12:16	65.16	8/19/2016 23:26	74.49	116.4	8/19/2016 23:59	60.78	8/19/2016 12:07	26.39	8/19/2016 17:48	5.337	184.1	75.65	8/19/2016 18:44	74.28	8/19/2016 10:14	74.99
8/21/2016 0:00	172	11.7	25.25	13.3	0.05	194.4	1227	8/20/2016 12:21	16.79754	72.68	8/20/2016 13:45	55.44	8/20/2016 23:57	65.17	116.8	8/20/2016 2:09	55.36	8/20/2016 15:21	18.26	8/20/2016 11:40	6.945	299.4	74.91	8/20/2016 0:00	72.42	8/20/2016 23:53	73.33
8/22/2016 0:00	173	11.67	27.69	11.33	0	281	995	8/21/2016 11:24	24.27719	75.71	8/21/2016 16:55	52.22	8/21/2016 5:33	63.32	115.7	8/21/2016 5:05	37.79	8/21/2016 14:41	14.75	8/21/2016 12:05	4.104	280.6	72.42	8/21/2016 0:02	69.95	8/21/2016 10:29	71.09
